yearID2020,lgID2020,teamID2020,franchID2020,divID2020,Rank2020,G2020,Ghome2020,W2020,L2020,DivWin2020,WCWin2020,LgWin2020,WSWin2020,R2020,AB2020,H2020,2B2020,3B2020,HR2020,BB2020,SO2020,SB2020,CS2020,HBP2020,SF2020,RA2020,ER2020,ERA2020,CG2020,SHO2020,SV2020,IPouts2020,HA2020,HRA2020,BBA2020,SOA2020,E2020,DP2020,FP2020,name2020,park2020,attendance2020,BPF2020,PPF2020,teamIDBR2020,teamIDlahman452020,teamIDretro2020,yearID2019,lgID2019,teamID2019,franchID2019,divID2019,Rank2019,G2019,Ghome2019,W2019,L2019,DivWin2019,WCWin2019,LgWin2019,WSWin2019,R2019,AB2019,H2019,2B2019,3B2019,HR2019,BB2019,SO2019,SB2019,CS2019,HBP2019,SF2019,RA2019,ER2019,ERA2019,CG2019,SHO2019,SV2019,IPouts2019,HA2019,HRA2019,BBA2019,SOA2019,E2019,DP2019,FP2019,name2019,park2019,attendance2019,BPF2019,PPF2019,teamIDBR2019,teamIDlahman452019,teamIDretro2019,yearID2018,lgID2018,teamID2018,franchID2018,divID2018,Rank2018,G2018,Ghome2018,W2018,L2018,DivWin2018,WCWin2018,LgWin2018,WSWin2018,R2018,AB2018,H2018,2B2018,3B2018,HR2018,BB2018,SO2018,SB2018,CS2018,HBP2018,SF2018,RA2018,ER2018,ERA2018,CG2018,SHO2018,SV2018,IPouts2018,HA2018,HRA2018,BBA2018,SOA2018,E2018,DP2018,FP2018,name2018,park2018,attendance2018,BPF2018,PPF2018,teamIDBR2018,teamIDlahman452018,teamIDretro2018,yearID2017,lgID2017,teamID2017,franchID2017,divID2017,Rank2017,G2017,Ghome2017,W2017,L2017,DivWin2017,WCWin2017,LgWin2017,WSWin2017,R2017,AB2017,H2017,2B2017,3B2017,HR2017,BB2017,SO2017,SB2017,CS2017,HBP2017,SF2017,RA2017,ER2017,ERA2017,CG2017,SHO2017,SV2017,IPouts2017,HA2017,HRA2017,BBA2017,SOA2017,E2017,DP2017,FP2017,name2017,park2017,attendance2017,BPF2017,PPF2017,teamIDBR2017,teamIDlahman452017,teamIDretro2017
2020,NL,LAN,LAD,W,1,60,30,43,17,Y,N,Y,Y,349,2042,523,97,6,118,228,471,29,8,30,12,213,181,3.02,0,0,15,1616,424,66,145,517,40,46,0.982,Los Angeles Dodgers,Dodger Stadium,0,97,94,LAD,LAN,LAN,2019,NL,LAN,LAD,W,1,162,81,106,56,Y,N,N,N,886,5493,1414,302,20,279,607,1356,57,10,81,45,613,541,3.37,3,18,44,4337,1201,185,392,1519,106,117,0.982,Los Angeles Dodgers,Dodger Stadium,3974309,96,94,LAD,LAN,LAN,2018,NL,LAN,LAD,W,1,163,82,92,71,Y,N,Y,N,804,5572,1394,296,33,235,647,1436,75,24,61,39,610,554,3.38,0,11,48,4428,1279,179,422,1565,100,111,0.983,Los Angeles Dodgers,Dodger Stadium,3857500,98,96,LAD,LAN,LAN,2017,NL,LAN,LAD,W,1,162,81,104,58,Y,N,Y,N,770,5408,1347,312,20,221,649,1380,77,28,64,38,580,543,3.38,2,16,51,4334,1226,184,442,1549,88,131,0.985,Los Angeles Dodgers,Dodger Stadium,3765856,97,96,LAD,LAN,LAN
2020,NL,MIA,FLA,E,2,60,26,31,29,N,Y,N,N,263,1935,472,82,5,60,191,537,51,14,25,9,304,272,4.86,1,0,18,1512,506,82,226,451,39,60,0.981,Miami Marlins,Marlins Park,0,97,99,MIA,FLO,MIA,2019,NL,MIA,FLA,E,5,162,81,57,105,N,N,N,N,615,5512,1326,265,18,146,395,1469,55,30,73,33,808,760,4.74,2,8,27,4333,1340,236,615,1378,94,135,0.984,Miami Marlins,Marlins Park,811302,94,96,MIA,FLO,MIA,2018,NL,MIA,FLA,E,5,161,81,63,98,N,N,N,N,589,5488,1303,222,24,128,455,1384,45,31,73,31,809,762,4.76,1,12,30,4326,1388,192,605,1249,83,133,0.986,Miami Marlins,Marlins Park,811104,89,90,MIA,FLO,MIA,2017,NL,MIA,FLA,E,2,162,78,77,85,N,N,N,N,778,5602,1497,271,31,194,486,1282,91,30,67,41,822,772,4.82,1,7,34,4328,1450,193,627,1202,73,156,0.988,Miami Marlins,Marlins Park,1583014,93,93,MIA,FLO,MIA
2020,NL,MIL,MIL,C,4,60,29,29,31,N,Y,N,N,247,1920,429,83,5,75,221,582,15,11,35,10,264,239,4.16,1,0,14,1552,446,67,189,614,34,45,0.984,Milwaukee Brewers,Miller Park,0,101,101,MIL,ML4,MIL,2019,NL,MIL,MIL,C,2,162,81,89,73,N,Y,N,N,769,5542,1366,279,17,250,629,1563,101,25,72,38,766,713,4.4,0,7,50,4378,1364,225,570,1497,97,135,0.983,Milwaukee Brewers,Miller Park,2923333,101,101,MIL,ML4,MIL,2018,NL,MIL,MIL,C,1,163,81,96,67,Y,N,N,N,754,5542,1398,252,24,218,537,1458,124,32,58,41,659,606,3.73,0,14,49,4383,1259,173,553,1428,108,141,0.982,Milwaukee Brewers,Miller Park,2850875,102,101,MIL,ML4,MIL,2017,NL,MIL,MIL,C,2,162,84,86,76,N,N,N,N,732,5467,1363,267,22,224,547,1571,128,41,53,26,697,642,4,1,12,54,4337,1381,185,553,1346,115,164,0.981,Milwaukee Brewers,Miller Park,2627705,101,101,MIL,ML4,MIL
2020,AL,MIN,MIN,C,1,60,31,36,24,Y,N,N,N,269,1937,468,81,3,91,186,528,14,7,29,14,215,204,3.58,0,0,17,1540,448,62,170,535,20,39,0.99,Minnesota Twins,Target Field,0,99,98,MIN,MIN,MIN,2019,AL,MIN,MIN,C,1,162,81,101,61,Y,N,N,N,939,5732,1547,318,23,307,525,1334,28,21,81,41,754,680,4.18,1,10,50,4390,1456,198,452,1463,111,130,0.981,Minnesota Twins,Target Field,2294152,100,99,MIN,MIN,MIN,2018,AL,MIN,MIN,C,2,162,81,78,84,N,N,N,N,738,5526,1379,317,22,166,534,1328,47,27,37,38,775,721,4.5,2,7,37,4330,1425,198,573,1377,97,127,0.984,Minnesota Twins,Target Field,1959197,102,102,MIN,MIN,MIN,2017,AL,MIN,MIN,C,2,162,81,85,77,N,Y,N,N,815,5557,1444,286,31,206,593,1342,95,28,46,39,788,732,4.59,6,11,42,4308,1487,224,483,1166,78,143,0.987,Minnesota Twins,Target Field,2051279,99,100,MIN,MIN,MIN
2020,AL,NYA,NYY,E,2,60,31,33,27,N,Y,N,N,315,1915,473,87,7,94,251,480,27,7,30,11,270,242,4.35,2,1,14,1502,455,83,168,528,48,37,0.976,New York Yankees,Yankee Stadium III,0,98,96,NYY,NYA,NYA,2019,AL,NYA,NYY,E,1,162,81,103,59,Y,N,N,N,943,5583,1493,290,17,306,569,1437,55,22,49,33,739,691,4.31,1,9,50,4329,1374,248,507,1534,102,135,0.982,New York Yankees,Yankee Stadium III,3304404,98,96,NYY,NYA,NYA,2018,AL,NYA,NYY,E,2,162,81,100,62,N,Y,N,N,851,5515,1374,269,23,267,625,1421,63,21,62,59,669,611,3.78,2,11,49,4369,1311,177,494,1634,94,95,0.984,New York Yankees,Yankee Stadium III,3482855,104,102,NYY,NYA,NYA,2017,AL,NYA,NYY,E,2,162,81,91,71,N,Y,N,N,858,5594,1463,266,23,241,616,1386,90,22,64,56,660,599,3.72,2,7,36,4346,1248,192,504,1560,95,102,0.984,New York Yankees,Yankee Stadium III,3146966,104,103,NYY,NYA,NYA
2020,NL,NYN,NYM,E,4,60,29,26,34,N,N,N,N,286,2023,551,106,7,86,197,498,20,10,45,13,308,284,4.98,0,0,11,1540,511,81,219,574,32,39,0.985,New York Mets,Citi Field,0,94,94,NYM,NYN,NYN,2019,NL,NYN,NYM,E,3,162,81,86,76,N,N,N,N,791,5624,1445,280,17,242,516,1384,56,27,95,27,737,688,4.24,3,12,38,4383,1405,204,500,1520,99,129,0.983,New York Mets,Citi Field,2442532,92,92,NYM,NYN,NYN,2018,NL,NYN,NYM,E,4,162,81,77,85,N,N,N,N,676,5468,1282,265,34,170,566,1404,71,39,73,42,707,661,4.07,3,15,41,4382,1364,185,484,1446,88,121,0.985,New York Mets,Citi Field,2224995,90,91,NYM,NYN,NYN,2017,NL,NYN,NYM,E,4,162,81,70,92,N,N,N,N,735,5510,1379,286,28,224,529,1291,58,23,57,37,863,799,5.01,2,5,34,4304,1538,220,593,1374,92,125,0.984,New York Mets,Citi Field,2460622,97,97,NYM,NYN,NYN
2020,AL,OAK,OAK,W,1,60,32,36,24,Y,N,N,N,274,1908,430,91,11,71,238,524,26,3,39,14,232,216,3.77,1,1,17,1546,471,69,165,506,26,33,0.987,Oakland Athletics,O.co Coliseum,0,94,93,OAK,OAK,OAK,2019,AL,OAK,OAK,W,2,162,81,97,65,N,Y,N,N,845,5561,1384,292,23,257,578,1338,49,21,87,36,680,646,3.97,1,12,45,4395,1342,201,477,1299,80,122,0.987,Oakland Athletics,O.co Coliseum,1662211,95,93,OAK,OAK,OAK,2018,AL,OAK,OAK,W,2,162,81,97,65,N,Y,N,N,813,5579,1407,322,20,227,550,1381,35,21,76,44,674,621,3.81,2,14,44,4397,1303,184,474,1237,89,125,0.985,Oakland Athletics,O.co Coliseum,1573616,98,97,OAK,OAK,OAK,2017,AL,OAK,OAK,W,5,162,81,75,87,N,N,N,N,739,5464,1344,305,15,234,565,1491,57,22,43,40,826,743,4.67,1,6,35,4293,1444,210,502,1202,121,162,0.98,Oakland Athletics,O.co Coliseum,1475721,96,97,OAK,OAK,OAK
2020,NL,PHI,PHI,E,3,60,32,28,32,N,N,N,N,306,1948,500,90,10,82,229,480,35,8,28,10,311,284,5.14,3,2,11,1491,550,80,185,532,35,57,0.983,Philadelphia Phillies,Citizens Bank Park,0,101,101,PHI,PHI,PHI,2019,NL,PHI,PHI,E,4,162,81,81,81,N,N,N,N,774,5571,1369,311,26,215,562,1453,78,18,57,34,794,731,4.53,3,7,36,4361,1452,258,546,1392,97,136,0.984,Philadelphia Phillies,Citizens Bank Park,2727421,102,102,PHI,PHI,PHI,2018,NL,PHI,PHI,E,3,162,81,80,82,N,N,N,N,677,5424,1270,241,30,186,582,1520,69,26,64,32,728,665,4.14,0,12,44,4337,1366,171,500,1465,123,138,0.979,Philadelphia Phillies,Citizens Bank Park,2158124,102,103,PHI,PHI,PHI,2017,NL,PHI,PHI,E,5,162,81,66,96,N,N,N,N,690,5535,1382,287,36,174,494,1417,59,25,47,36,782,729,4.55,1,7,33,4323,1471,221,527,1309,82,145,0.986,Philadelphia Phillies,Citizens Bank Park,1905354,96,97,PHI,PHI,PHI
2020,NL,PIT,PIT,C,5,60,32,19,41,N,N,N,N,219,1932,425,76,6,59,167,521,16,11,11,15,298,267,4.68,1,0,6,1539,451,80,249,536,47,53,0.978,Pittsburgh Pirates,PNC Park,0,97,99,PIT,PIT,PIT,2019,NL,PIT,PIT,C,5,162,81,69,93,N,N,N,N,758,5657,1497,315,38,163,425,1213,64,29,63,34,911,829,5.18,1,6,31,4320,1511,241,584,1443,121,130,0.98,Pittsburgh Pirates,PNC Park,1491439,96,97,PIT,PIT,PIT,2018,NL,PIT,PIT,C,4,161,80,82,79,N,N,N,N,692,5447,1381,290,38,157,474,1229,70,38,59,52,693,637,4,3,16,40,4302,1380,174,497,1336,105,129,0.982,Pittsburgh Pirates,PNC Park,1465316,96,96,PIT,PIT,PIT,2017,NL,PIT,PIT,C,4,162,81,75,87,N,N,N,N,668,5458,1331,249,36,151,519,1213,67,36,88,28,731,676,4.22,2,12,36,4322,1464,182,511,1262,99,156,0.984,Pittsburgh Pirates,PNC Park,1919447,99,99,PIT,PIT,PIT
2020,NL,SDN,SDP,W,2,60,32,37,23,N,Y,N,N,325,1972,506,103,12,95,204,479,55,13,28,14,241,223,3.86,1,1,13,1561,456,70,170,565,32,46,0.985,San Diego Padres,Petco Park,0,94,95,SDP,SDN,SDN,2019,NL,SDN,SDP,W,5,162,81,70,92,N,N,N,N,682,5391,1281,224,24,219,504,1581,70,37,55,31,789,732,4.6,0,6,47,4296,1394,215,463,1475,116,100,0.98,San Diego Padres,Petco Park,2396399,95,96,SDP,SDN,SDN,2018,NL,SDN,SDP,W,5,162,81,66,96,N,N,N,N,617,5486,1289,250,30,162,471,1523,95,36,31,36,767,713,4.4,0,5,36,4371,1430,185,519,1399,100,127,0.983,San Diego Padres,Petco Park,2168536,94,95,SDP,SDN,SDN,2017,NL,SDN,SDP,W,4,162,81,71,91,N,N,N,N,604,5356,1251,227,31,189,460,1499,89,33,53,33,816,742,4.67,2,12,45,4292,1417,226,554,1325,113,177,0.981,San Diego Padres,Petco Park,2138491,94,95,SDP,SDN,SDN
2020,AL,SEA,SEA,W,3,60,24,27,33,N,N,N,N,254,1929,435,88,5,60,207,545,50,16,30,12,303,289,5.03,1,0,15,1550,482,79,230,469,23,48,0.989,Seattle Mariners,T-Mobile Park,0,94,95,SEA,SEA,SEA,2019,AL,SEA,SEA,W,5,162,81,68,94,N,N,N,N,758,5500,1305,254,28,239,588,1581,115,47,58,37,893,798,4.99,3,4,34,4318,1484,260,505,1239,132,145,0.978,Seattle Mariners,T-Mobile Park,1791863,93,94,SEA,SEA,SEA,2018,AL,SEA,SEA,W,3,162,81,89,73,N,N,N,N,677,5513,1402,256,32,176,430,1221,79,37,70,41,711,664,4.13,3,12,60,4346,1396,195,400,1328,88,152,0.985,Seattle Mariners,Safeco Field,2299489,94,95,SEA,SEA,SEA,2017,AL,SEA,SEA,W,3,162,81,78,84,N,N,N,N,750,5551,1436,281,17,200,487,1267,89,35,78,35,772,713,4.46,1,9,39,4321,1399,237,490,1244,103,147,0.982,Seattle Mariners,Safeco Field,2135445,97,97,SEA,SEA,SEA
2020,NL,SFN,SFG,W,3,60,33,29,31,N,N,N,N,299,2019,532,107,14,81,195,499,19,8,27,13,297,267,4.64,1,0,13,1553,474,69,210,488,41,43,0.98,San Francisco Giants,Oracle Park,0,94,95,SFG,SFN,SFN,2019,NL,SFN,SFG,W,3,162,81,77,85,N,N,N,N,678,5579,1332,300,26,167,475,1435,47,28,50,42,773,715,4.38,1,8,41,4407,1395,227,519,1368,90,142,0.985,San Francisco Giants,Oracle Park,2707760,94,95,SFG,SFN,SFN,2018,NL,SFN,SFG,W,4,162,81,73,89,N,N,N,N,603,5541,1324,255,30,133,448,1467,77,34,49,42,699,641,3.95,1,15,36,4384,1387,156,524,1269,97,160,0.984,San Francisco Giants,AT&T Park,3156185,95,96,SFG,SFN,SFN,2017,NL,SFN,SFG,W,5,162,81,64,98,N,N,N,N,639,5551,1382,290,28,128,467,1204,76,34,36,52,776,726,4.5,3,5,32,4356,1515,182,496,1234,87,127,0.985,San Francisco Giants,AT&T Park,3303652,96,96,SFG,SFN,SFN
2020,NL,SLN,STL,C,3,58,27,30,28,N,Y,N,N,240,1752,410,73,7,51,205,477,18,10,33,16,229,205,3.9,2,0,13,1419,376,69,204,464,33,46,0.983,St. Louis Cardinals,Busch Stadium III,0,97,96,STL,SLN,SLN,2019,NL,SLN,STL,C,1,162,81,91,71,Y,N,N,N,764,5449,1336,246,24,210,561,1420,116,29,76,39,662,609,3.8,1,14,52,4332,1284,191,545,1399,66,168,0.989,St. Louis Cardinals,Busch Stadium III,3480393,98,97,STL,SLN,SLN,2018,NL,SLN,STL,C,3,162,81,88,74,N,N,N,N,759,5498,1369,248,9,205,525,1380,63,32,80,48,691,622,3.85,1,8,43,4366,1354,144,593,1337,133,151,0.978,St. Louis Cardinals,Busch Stadium III,3403587,97,96,STL,SLN,SLN,2017,NL,SLN,STL,C,3,162,81,83,79,N,N,N,N,761,5470,1402,284,28,196,593,1348,81,31,65,44,705,646,4.01,3,12,43,4351,1393,183,493,1351,94,164,0.984,St. Louis Cardinals,Busch Stadium III,3447937,98,98,STL,SLN,SLN
2020,AL,TBA,TBD,E,1,60,29,40,20,Y,N,Y,N,289,1975,470,105,12,80,243,608,48,9,28,14,229,209,3.56,0,0,23,1583,475,70,168,552,33,52,0.985,Tampa Bay Rays,Tropicana Field,0,96,95,TBR,TBA,TBA,2019,AL,TBA,TBD,E,2,162,81,96,66,N,Y,N,N,769,5628,1427,291,29,217,542,1493,94,37,73,34,656,598,3.65,0,12,46,4423,1274,181,453,1621,87,126,0.985,Tampa Bay Rays,Tropicana Field,1178735,97,96,TBR,TBA,TBA,2018,AL,TBA,TBD,E,3,162,81,90,72,N,N,N,N,716,5475,1415,274,43,150,540,1388,128,51,101,50,646,602,3.74,0,14,52,4345,1236,164,501,1421,85,136,0.986,Tampa Bay Rays,Tropicana Field,1154973,97,97,TBR,TBA,TBA,2017,AL,TBA,TBD,E,3,162,81,80,82,N,N,N,N,694,5478,1340,226,32,228,545,1538,88,34,55,48,704,638,3.97,0,9,53,4335,1324,193,503,1352,100,129,0.983,Tampa Bay Rays,Tropicana Field,1253619,94,94,TBR,TBA,TBA
2020,AL,TEX,TEX,W,5,60,30,22,38,N,N,N,N,224,1936,420,80,9,62,167,548,49,14,24,18,312,288,5.02,2,1,10,1550,479,81,236,489,40,40,0.981,Texas Rangers,Globe Life Field,0,102,102,TEX,TEX,TEX,2019,AL,TEX,TEX,W,3,162,81,78,84,N,N,N,N,810,5540,1374,296,24,223,534,1578,131,38,67,44,878,808,5.06,4,9,33,4314,1515,241,583,1379,105,143,0.982,Texas Rangers,Globe Life Park in Arlington,2132994,111,112,TEX,TEX,TEX,2018,AL,TEX,TEX,W,5,162,81,67,95,N,N,N,N,737,5453,1308,266,24,194,555,1484,74,35,88,34,848,783,4.92,1,5,42,4293,1516,222,491,1121,120,168,0.98,Texas Rangers,Globe Life Park in Arlington,2107107,112,113,TEX,TEX,TEX,2017,AL,TEX,TEX,W,4,162,81,78,84,N,N,N,N,799,5430,1326,255,21,237,544,1493,113,44,81,39,816,742,4.66,2,6,29,4303,1443,214,559,1107,108,173,0.982,Texas Rangers,Rangers Ballpark in Arlington,2507760,107,107,TEX,TEX,TEX
2020,AL,TOR,TOR,E,3,60,26,32,28,N,Y,N,N,302,2023,516,104,4,88,203,508,33,6,12,14,312,268,4.6,0,0,17,1574,517,81,250,519,38,47,0.982,Toronto Blue Jays,Sahlen Field,0,100,99,TOR,TOR,TOR,2019,AL,TOR,TOR,E,4,162,81,67,95,N,N,N,N,726,5493,1299,270,21,247,509,1514,51,20,45,28,828,767,4.79,1,7,33,4321,1450,228,604,1332,96,141,0.984,Toronto Blue Jays,Rogers Centre,1750114,97,98,TOR,TOR,TOR,2018,AL,TOR,TOR,E,4,162,81,73,89,N,N,N,N,709,5477,1336,320,16,217,499,1387,47,30,58,37,832,772,4.85,0,3,39,4301,1476,208,551,1298,101,138,0.983,Toronto Blue Jays,Rogers Centre,2325281,97,98,TOR,TOR,TOR,2017,AL,TOR,TOR,E,4,162,81,76,86,N,N,N,N,693,5499,1320,269,5,222,542,1327,53,24,51,35,784,720,4.42,2,6,45,4395,1460,203,549,1372,92,145,0.985,Toronto Blue Jays,Rogers Centre,3203886,105,105,TOR,TOR,TOR
2020,NL,WAS,WSN,E,4,60,33,26,34,N,N,N,N,293,1968,519,112,12,66,192,451,33,12,32,21,301,285,5.09,2,0,12,1511,548,94,216,508,39,48,0.981,Washington Nationals,Nationals Park,0,103,102,WSN,MON,WAS,2019,NL,WAS,WSN,E,2,162,81,93,69,N,Y,Y,Y,873,5512,1460,298,27,231,584,1308,116,29,81,42,724,683,4.27,1,13,40,4318,1340,202,517,1511,87,111,0.985,Washington Nationals,Nationals Park,2259781,106,104,WSN,MON,WAS,2018,NL,WAS,WSN,E,2,162,81,82,80,N,N,N,N,771,5517,1402,284,25,191,631,1289,119,33,59,40,682,649,4.04,2,7,40,4338,1320,198,487,1417,64,115,0.989,Washington Nationals,Nationals Park,2529604,106,105,WSN,MON,WAS,2017,NL,WAS,WSN,E,1,162,81,97,65,Y,N,N,N,819,5553,1477,311,31,215,542,1327,108,30,31,45,672,623,3.88,3,5,46,4340,1300,189,495,1457,86,139,0.985,Washington Nationals,Nationals Park,2524980,103,102,WSN,MON,WAS